ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,NUM_BOLETAS_SOBRANTES,TOTAL_CIUDADANOS_VOTARON,NUM_BOLETAS_EXTRAIDAS,PAN,PRI,PRD,PVEM,PT,MOVIMIENTO_CIUDADANO,NUEVA_ALIANZA,MORENA,ES,C_PAN_PRD,C_PRI_PVEM,CAND_IND_1,CAND_IND_2,CAND_IND_3,NO_REGISTRADOS,NULOS,TOTAL_VOTOS,LISTA_NOMINAL,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,HORA_ACOPIO,HORA_CAPTURA,HORA_REGISTRO,ORIGEN,COTEJO,
30,VERACRUZ,34,CATEMACO,632,1,B,0,1,2,311,453,459,123,7,27,37,36,48,70,44,33,5,6,4, , ,0,19,459,748, ,1,D,3037fd1546367a2a7315f62bf4016ec63471f34c14c0c6f6e9eda71e6336845b,6/4/2017 21:02,6/4/2017 21:07,6/4/2017 21:07,P , ,
30,VERACRUZ,34,CATEMACO,632,1,C,0,1,2,293,467,476,116,3,35,50,39,49,87,27,34,12,4,1, , ,0,19,476,747, ,1,D,2aefd188429fa929571452d76f87ec0ec3c0dde2f129e7f80f176803127e27f9,6/4/2017 21:39,6/4/2017 21:46,6/4/2017 21:46,P , ,
30,VERACRUZ,34,CATEMACO,632,2,C,0,1,2,331,429,438,139,4,37,27,25,60,61,35,25,10,2,1, , ,0,12,438,747, ,1,D,087d41a089c93d079f67449a9483c5542c68fd3796bc3811899fd569eed754cb,6/4/2017 21:10,6/4/2017 21:22,6/4/2017 21:22,P , ,
30,VERACRUZ,34,CATEMACO,632,3,C,0,1,2,323,440,446,100,4,27,33,35,70,69,36,35,10,9,1, , ,0,17,446,747, ,1,D,49aef9ef26a4552db5e9660a3aaefd5c69a0b6c141100c35da5509d92106bf8a,6/4/2017 21:20,6/4/2017 21:31,6/4/2017 21:31,P , ,
30,VERACRUZ,34,CATEMACO,632,4,C,0,1,2,302,458,467,109,3,34,41,38,58,76,39,35,12,5,4, , ,Sin dato,13,467,747,Cantidad de votos en blanco,1,D,6562090c450218d7a536356963812fc0116bde8ea8a9959d9ecee2b78d63f7a0,6/4/2017 21:44,6/4/2017 21:52,6/4/2017 21:52,P , ,
30,VERACRUZ,34,CATEMACO,633,1,B,0,1,2,244,441,446,124,6,45,38,25,60,86,19,16,13,2,3, , ,0,9,446,670,Cantidad de votos en blanco,1,D,11c04371b9a7f4252d48616df76265272a2c644992aba091fd1cf892accb6dd9,6/4/2017 20:56,6/4/2017 21:03,6/4/2017 21:03,P , ,
30,VERACRUZ,34,CATEMACO,633,1,C,0,1,2,262,426,429,120,8,25,29,28,82,68,19,20,14,5,0, , ,0,11,429,669, ,1,D,3589a1c3face4a4022151ae8348aa609265773bb05e7245bdd6105f3e0b27d27,6/4/2017 20:20,6/4/2017 20:31,6/4/2017 20:31,P , ,
30,VERACRUZ,34,CATEMACO,633,2,C,0,1,2,255,432,436,117,5,36,40,19,69,75,28,26,6,4,Sin dato, , ,Sin dato,11,436,669,Cantidad de votos en blanco,1,D,d181ff2a8062a639b20cc5b5326768a20290976d5f7ae7dd6cd6acb567a039fc,6/4/2017 20:48,6/4/2017 20:54,6/4/2017 20:54,P , ,
30,VERACRUZ,34,CATEMACO,633,3,C,0,1,2,272,411,419,96,7,34,36,14,75,78,21,33,7,11,0, , ,0,7,419,669, ,1,D,552319259a7774776425c503a053893313a60dcebb0b18513ceaec7c8118a3a2,6/4/2017 20:25,6/4/2017 20:32,6/4/2017 20:32,P , ,
30,VERACRUZ,34,CATEMACO,634,1,B,0,2,2,244,364,370,118,3,28,21,29,38,48,38,14,15,4,0, , ,0,12,368,590, ,1,D,4785f801159f22b997656401edf6cdf6ddd8767da656db321a9362bc25d6ef6e,6/4/2017 20:37,6/4/2017 20:43,6/4/2017 20:43,P , ,
30,VERACRUZ,34,CATEMACO,634,1,C,0,2,2,264,335,336,90,1,13,24,21,56,50,27,32,10,3,2, , ,0,7,336,590, ,1,D,bdf407a8e3fb26b38051a9e492b9db12d1fcd5d2af27c84cb89789528149061e,6/4/2017 20:43,6/4/2017 20:50,6/4/2017 20:50,P , ,
30,VERACRUZ,34,CATEMACO,634,2,C,0,2,2,220,385,392,110,3,31,32,34,42,53,23,37,9,4,4, , ,0,10,392,590, ,1,D,3b97be62b0ea7647ad0901b09cbed87ea933a689dbc6f20559047f141cf55341,6/4/2017 21:23,6/4/2017 21:29,6/4/2017 21:29,P , ,
30,VERACRUZ,34,CATEMACO,634,3,C,0,2,2,283,323,328,96,6,20,21,40,38,45,17,21,9,4,2, , ,Sin dato,9,328,589,Cantidad de votos en blanco,1,D,d4e0da1a25d5014f382d4c5ca01f62b7ca980b13b29f0679f2b8bfcfb66a3da0,6/4/2017 21:41,6/4/2017 21:47,6/4/2017 21:47,P , ,
30,VERACRUZ,34,CATEMACO,635,1,B,0,1,2,239,503,507,133,1,31,26,31,115,95,24,33,5,2,2, , ,Sin dato,Sin dato,498,723,Cantidad de votos en blanco,1,D,c2eb23d3891ca1115d193320cdca0012c60031660c4a122c6bb9bbd0153e70ad,6/4/2017 21:31,6/4/2017 21:43,6/4/2017 21:43,P , ,
30,VERACRUZ,34,CATEMACO,635,1,C,0,1,2,236,Sin dato,508,131,2,47,29,33,110,76,32,29,5,2,0, , ,1,11,508,723,Cantidad de votos en blanco,1,D,228fd9f2bb79955534aede683b798624be92f42d09f55883963c3ee93a226c3c,6/4/2017 21:19,6/4/2017 21:33,6/4/2017 21:33,P , ,
30,VERACRUZ,34,CATEMACO,636,1,B,0,1,2,209,Ilegible,412,107,3,37,26,18,46,94,32,22,8,4,5, , ,Sin dato,10,412,600,Cantidad de votos en blanco,1,D,f891611c20ea085b94efb27e33c78640504f6c69ee4e3c0f758613d1b943e92b,6/4/2017 21:27,6/4/2017 21:49,6/4/2017 21:49,P , ,
30,VERACRUZ,34,CATEMACO,636,1,C,0,1,2,221,395,401,99,2,40,30,25,47,82,18,33,10,3,2, , ,Sin dato,10,401,600,Cantidad de votos en blanco,1,D,a730456cbc9bb13ea84329b54eefb48a4abac745b3960b8b21ba15b216aa4096,6/4/2017 21:25,6/4/2017 21:34,6/4/2017 21:34,P , ,
30,VERACRUZ,34,CATEMACO,637,1,B,0,1,2,181,Ilegible,296,77,11,16,22,14,33,55,24,22,6,4,4, , ,7,7,302,456,Cantidad de votos es ilegible,1,D,0eccfc782fbb96c57c5d38aa578ec5dd3b8b38ce584d799f840f51ba4fd238d3,6/4/2017 20:38,6/4/2017 20:43,6/4/2017 20:43,P , ,
30,VERACRUZ,34,CATEMACO,637,1,C,0,1,2,178,294,301,83,14,17,16,25,27,60,21,20,8,4,1, , ,Sin dato,5,301,456,Cantidad de votos en blanco,1,D,4f0db67be9c508dd70324af3ecd9be78175f765fd8a9c36c481decadeb5cb1fc,6/4/2017 20:44,6/4/2017 20:48,6/4/2017 20:48,P , ,
30,VERACRUZ,34,CATEMACO,638,1,B,0,1,2,249,Ilegible,Sin dato,116,3,15,39,45,52,75,27,16,6,4,3, , ,Sin dato,9,410,637,Cantidad de votos en blanco,1,D,1786b9019f93f3ac0c8c74b4794f9980356fb402f00eacaf06b69a929802e311,6/4/2017 21:22,6/4/2017 21:29,6/4/2017 21:29,C , ,
30,VERACRUZ,34,CATEMACO,638,1,C,0,1,2,251,401,407,105,2,19,36,43,65,77,22,14,6,2,Sin dato, , ,Sin dato,Sin dato,391,636,Cantidad de votos en blanco,1,D,2b4e7e43b8d4333b162a00f1c96e3df43a6687fb95412fc98110570563c6de6d,6/4/2017 21:35,6/4/2017 22:07,6/4/2017 22:07,P , ,
30,VERACRUZ,34,CATEMACO,638,2,C,0,1,2,248,410,410,108,4,26,25,50,47,77,26,24,9,3,2, , ,0,9,410,636, ,1,D,ad0ecf1d6f4859634453dada30bf2b0ca59b8bcaec9e786b97e6f44cf9a2f706,6/4/2017 21:16,6/4/2017 21:20,6/4/2017 21:20,P , ,
30,VERACRUZ,34,CATEMACO,639,1,B,0,1,2,256,401,406,66,4,14,69,25,68,89,24,18,8,3,3, , ,0,15,406,640, ,1,D,372930c05a0ba98f91c3cb2bcb45df9697012fb43d4923cef9741efc4a61b6d2,6/4/2017 20:14,6/4/2017 20:28,6/4/2017 20:28,M , , 
30,VERACRUZ,34,CATEMACO,639,1,C,0,1,2,263,392,399,95,9,17,40,21,83,55,26,23,6,4,5, , ,0,15,399,640,Cantidad de votos es ilegible,1,D,5e709b802b97a875ad4ecb5c0286fe57eaf57b018621c9386b7d325d023e481d,6/4/2017 20:07,6/4/2017 20:11,6/4/2017 20:11,M , , 
30,VERACRUZ,34,CATEMACO,640,1,B,0,1,2,260,434,439,108,7,28,29,33,71,78,27,28,12,3,4, , ,Sin dato,11,439,677,Cantidad de votos en blanco,1,D,e4913abe3fb8d03c367fdb9f91aaa846aba67fb679af876227f6518fd49ee9d1,6/4/2017 22:26,6/4/2017 22:41,6/4/2017 22:41,P , ,
30,VERACRUZ,34,CATEMACO,640,1,C,0,1,2,270,423,428,106,3,40,23,22,71,88,15,32,7,1,0, , ,0,20,428,677, ,1,D,2a5e88b97545305f535fb7c83677ad13dc76aa86b9b46279980f49974a268c8b,6/4/2017 22:27,6/4/2017 22:42,6/4/2017 22:42,P , ,
30,VERACRUZ,34,CATEMACO,641,1,B,0,1,2,221,379,379,93,7,29,16,36,70,67,24,16,4,0,13, , ,Sin dato,Sin dato,375,578,Cantidad de votos en blanco,1,D,24a94f06b807bbb5c0dc804646b9e07585f4f43f7b9beae705bf224c5c1b1c92,6/4/2017 22:32,6/4/2017 22:45,6/4/2017 22:45,P , ,
30,VERACRUZ,34,CATEMACO,641,1,C,0,1,2,191,401,409,91,5,28,17,25,99,69,30,24,6,4,7, , ,Sin dato,4,409,578,Cantidad de votos en blanco,1,D,e082ac33e5015e716c653ff21ebc440915098cede557cd0276d4d85675fdd6aa,6/4/2017 22:35,6/4/2017 22:48,6/4/2017 22:48,P , ,
30,VERACRUZ,34,CATEMACO,642,1,B,0,1,2,184,322,322,114,1,21,21,13,40,59,11,15,12,2,3, , ,Sin dato,Sin dato,312,484,Cantidad de votos en blanco,1,D,74300784d2d26d7938639fa0a553542e943624fbe0e7da9360e254d80cdd54c7,6/4/2017 21:21,6/4/2017 21:29,6/4/2017 21:30,P , ,
30,VERACRUZ,34,CATEMACO,642,1,C,0,1,2,177,321,329,95,2,32,17,14,44,73,17,14,12,0,3, , ,1,5,329,484, ,1,D,385d28dedf91902388de68bbb1deeee6fb41aeff1973f4dc88a112306036adab,6/4/2017 21:30,6/4/2017 21:37,6/4/2017 21:37,P , ,
30,VERACRUZ,34,CATEMACO,643,1,B,0,1,2,196,381,385,126,3,26,19,18,39,70,34,26,8,6,2, , ,Sin dato,8,385,559,Cantidad de votos en blanco,1,D,0d7bc3d7463769a9ee358199e30ce1d6d2691bf1599b066a6fd3921e75e9fb44,6/4/2017 21:34,6/4/2017 21:42,6/4/2017 21:42,P , ,
30,VERACRUZ,34,CATEMACO,643,1,C,0,1,2,186,7,Sin dato,132,4,24,22,14,54,70,26,24,13,6,2, , ,Sin dato,3,394,558,Cantidad de votos en blanco,1,D,d44467d0821f00496ad442ca3599bc7ba82e4160d9550850955a7a40e5c827ee,6/4/2017 21:38,6/4/2017 21:44,6/4/2017 21:45,P , ,
30,VERACRUZ,34,CATEMACO,644,1,B,0,2,2,180,366,369,61,1,20,29,20,112,95,2,7,5,4,0, , ,0,13,369,527, ,1,D,d0dd59afd5345c77fcd4eba1d501d8223575a6ac5e2bab5120ede610670c044b,6/4/2017 20:52,6/4/2017 20:57,6/4/2017 20:57,P , ,
30,VERACRUZ,34,CATEMACO,644,1,C,0,2,2,199,347,350,70,5,10,18,32,77,89,6,10,7,2,0, , ,0,24,350,527, ,1,D,3cf7b32005ef3697ef5deb24f349dd4099b8383679d3b53b37130834cb89d1f5,6/4/2017 20:57,6/4/2017 21:01,6/4/2017 21:01,P , ,
