CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MOR,TODOS,PODEMOS,CARDENISTA,UNIDAD,PES,RSP,FM,CAND_IND_1,CAND_IND_2,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PVEM_PT_MOR,C_PVEM_PT,C_PVEM_MOR,C_PT_MOR,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'300633B0100,300633B010003,'30,VERACRUZ,'034, CATEMACO,'0633,1,B,0,1,3,309,454,7,461,11,8,95,0,13,18,228,7,1,0,49,,11,1,,,4,0,1,1,,,,,2,11,461,461,722,7,,1,O,cea3e78d639cbbcccb8e8eb293a6f8b9cf8af4f66c458be1b162c2cf3523c0ab,7/6/2021 0:37,7/6/2021 1:14,7/6/2021 1:30,MOVIL CATD,MOVIL CATD,ACTA PREP
'300633C0100,300633C010003,'30,VERACRUZ,'034, CATEMACO,'0633,1,C,0,1,3,321,448,9,448,13,4,98,0,15,19,224,4,2,0,49,,9,4,,,0,0,0,0,,,,,1,6,448,448,722,9,,1,O,ff8055225cf4c57027a51d4d36520fbb55d0427345dbc0bc32fc1f23f51da9da,6/6/2021 22:17,6/6/2021 23:03,6/6/2021 23:15,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300633C0200,300633C020003,'30,VERACRUZ,'034, CATEMACO,'0633,2,C,0,1,3,324,440,6,446,10,4,93,1,16,14,228,4,2,2,43,,13,4,,,2,0,0,0,,,,,0,10,446,446,722,6,,1,O,4982c338bfc41fef80d46add614c0dce13340f3da39ff5108b64d42cfef7b415,6/6/2021 21:47,6/6/2021 22:06,6/6/2021 22:15,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300633C0300,300633C030003,'30,VERACRUZ,'034, CATEMACO,'0633,3,C,0,1,3,331,430,9,439,14,6,109,2,10,20,215,6,2,4,31,,10,2,,,0,0,0,0,,,,,0,9,439,440,722,9,ALGUN CAMPO ILEGILE O SIN DATO,1,O,2e2e99e3f6623d93c172638d9713a0e6ff80363bb69c3cbfd71ab046a4e44755,6/6/2021 21:53,6/6/2021 22:19,6/6/2021 22:30,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300634B0100,300634B010003,'30,VERACRUZ,'034, CATEMACO,'0634,1,B,0,2,3,296,419,10,429,13,6,104,2,23,9,194,5,2,0,40,,10,6,,,5,0,0,0,,,,,0,10,429,429,677,10,,1,O,0393cbfd5a40335c02eb9f7ba34a33d5578f0b799c37f7362a725ef9c466494d,6/6/2021 23:47,7/6/2021 0:37,7/6/2021 1:15,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300634C0100,300634C010003,'30,VERACRUZ,'034, CATEMACO,'0634,1,C,0,2,3,341,372,12,384,20,8,83,1,20,11,177,4,1,1,39,,8,3,,,4,0,0,0,,,,,0,4,384,384,677,12,,1,O,da024c67367dbb3c80d6db4baf756a03f27cc24e2379838ae057b36e5bfa54d6,7/6/2021 0:08,7/6/2021 0:52,7/6/2021 1:00,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300634C0200,300634C020003,'30,VERACRUZ,'034, CATEMACO,'0634,2,C,0,2,3,298,417,10,427,30,13,78,0,27,10,178,4,2,2,50,,14,6,,,4,0,1,0,,,,,0,8,427,427,677,10,,1,O,727f8eb54bf99050b812f7f3c3318603eaee053094396e11078a3fc0595d583b,6/6/2021 23:28,7/6/2021 0:21,7/6/2021 1:00,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300634C0300,300634C030003,'30,VERACRUZ,'034, CATEMACO,'0634,3,C,0,2,3,324,392,9,401,20,9,78,1,21,7,194,4,0,0,31,,15,8,,,2,0,2,0,,,,,0,9,401,401,676,9,,1,O,dceef1defd43881df08661e6f4513cae26e1db452420b467222eeff65e842cfc,7/6/2021 0:06,7/6/2021 0:50,7/6/2021 1:00,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300635B0100,300635B010003,'30,VERACRUZ,'034, CATEMACO,'0635,1,B,0,1,3,0,211,3,359,17,8,92,0,16,4,167,2,0,0,29,,9,2,,,7,1,1,0,,,,,0,4,359,359,522,3,,1,O,9c93e15b8cf3dd1461f830292292399a1d2283d7c741535ed865428d3c10667b,6/6/2021 23:12,7/6/2021 0:01,7/6/2021 0:15,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300635C0100,300635C010003,'30,VERACRUZ,'034, CATEMACO,'0635,1,C,0,1,3,204,359,7,366,17,4,80,1,16,6,174,1,0,0,41,,6,2,,,12,2,1,0,,,,,0,3,366,366,522,7,,1,O,cb3262e8024f9dcde6fa68d3438e66d7b72cfcb72aa55cc429ecd6dc8a1d863b,6/6/2021 21:51,6/6/2021 22:13,6/6/2021 22:15,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300635C0200,300635C020003,'30,VERACRUZ,'034, CATEMACO,'0635,2,C,0,1,3,213,353,3,356,10,3,95,1,9,4,165,1,0,0,43,,8,0,,,8,1,3,0,,,,,0,5,356,356,521,3,,1,O,88ac6274a081aaf97949b2d9c4d39dd4a55217d1f253f0610098d08cc04c0fb2,6/6/2021 21:54,6/6/2021 22:25,6/6/2021 22:30,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300636B0100,300636B010003,'30,VERACRUZ,'034, CATEMACO,'0636,1,B,0,1,3,258,402,4,406,7,12,85,1,27,12,198,2,2,0,40,,7,2,,,3,0,1,0,,,,,0,7,406,406,616,4,,1,O,7e8e91c868b3e12f1d4ae604835de26c394e5744d778e25f436960b3a61644d1,6/6/2021 21:07,6/6/2021 21:12,6/6/2021 21:15,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300636C0100,300636C010003,'30,VERACRUZ,'034, CATEMACO,'0636,1,C,0,1,3,253,404,6,410,9,6,87,2,13,10,193,4,0,0,63,,8,1,,,4,0,3,2,,,,,0,5,410,410,615,6,,1,O,04c840ae096159b8ea558fb649073a074fcabfc538fc8f3784c558a8136493d6,6/6/2021 21:41,6/6/2021 21:53,6/6/2021 22:00,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
'300637B0100,300637B010003,'30,VERACRUZ,'034, CATEMACO,'0637,1,B,0,1,3,202,313,10,323,8,7,39,0,12,10,164,2,4,0,63,,5,5,,,4,1,0,0,,,,,0,3,323,327,477,10,,1,O,ab5bf8e370cfd221c71b50a5ee0c9f94b02aff90fc44290e2fa295bbf56ea87f,6/6/2021 22:07,6/6/2021 22:48,6/6/2021 23:00,MOVIL CASILLA,MOVIL CASILLA,ACTA PREP
