CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PVEM,PT,MC,MOR,CAND_IND_1,CAND_IND_2,C_PVEM_MOR,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,COTEJADA
'300633B0100,'300633B01001,'30,VERACRUZ,'034,CATEMACO,'0633,'01,B,'00,1,1,302,402,5,407,16,0,8,90,203,80,-,-,3,0,7,407,407,697,12, - ,1,F,c9020e8c2b6b6d09910a0bbdc55b81250ad82312607d572dd4e85859ab469e75,1/6/2025 21:27,1/6/2025 21:33,1/6/2025 21:34,CASILLA,MOVIL,ACTA PREP,1
'300633C0100,'300633C01001,'30,VERACRUZ,'034,CATEMACO,'0633,'01,C,'00,1,1,317,389,3,392,20,4,5,66,206,81,-,-,1,SIN DATO,9,392,392,696,12,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,56743b716a1a701071ef998888fc3a755bb205dda4aeedecfed918510c812aaa,1/6/2025 21:29,1/6/2025 21:35,1/6/2025 21:39,CASILLA,MOVIL,ACTA PREP,1
'300633C0200,'300633C02001,'30,VERACRUZ,'034,CATEMACO,'0633,'02,C,'00,2,1,305,398,5,403,20,0,12,80,192,88,-,-,4,0,7,403,403,696,12, - ,1,F,f7756d460ca158ecf79a8b983efe37de86ccd0eaf332d4192a0aafde0a64cb56,1/6/2025 21:32,1/6/2025 21:41,1/6/2025 21:41,CASILLA,MOVIL,ACTA PREP,1
'300633C0300,'300633C03001,'30,VERACRUZ,'034,CATEMACO,'0633,'03,C,'00,2,1,294,406,7,413,25,1,13,75,201,81,-,-,6,0,11,413,413,696,12, - ,1,F,12607d7a7e2ca193bf59ebc8ce9877cb5c0b5956b44b29fb6d8ca4103d6e0270,1/6/2025 21:33,1/6/2025 21:44,1/6/2025 21:45,CASILLA,MOVIL,ACTA PREP,1
'300634B0100,'300634B01001,'30,VERACRUZ,'034,CATEMACO,'0634,'01,B,'00,2,1,356,376,3,735,20,0,10,72,216,56,-,-,3,0,2,379,379,723,12, - ,1,F,c1efc51bea8e3b9f474d556bfa1672f9920fa234377325418948938f2283bff2,1/6/2025 21:23,1/6/2025 21:30,1/6/2025 21:31,CASILLA,MOVIL,ACTA PREP,1
'300634C0100,'300634C01001,'30,VERACRUZ,'034,CATEMACO,'0634,'01,C,'00,2,1,361,369,5,374,28,3,16,73,197,51,-,-,2,0,4,374,374,723,12, - ,1,F,96da7cdc417cde543d893f6432a54afe8deec3aa656326d85e5dfdc53cf5b039,1/6/2025 22:33,1/6/2025 22:36,1/6/2025 22:38,CATD,CATD Movil,ACTA PREP,0
'300634C0200,'300634C02001,'30,VERACRUZ,'034,CATEMACO,'0634,'02,C,'00,2,1,318,410,6,416,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,-,-,4,0,SIN DATO,416,4,722,12,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,5aebe815e03f541c92ba147f7333a937f6211018a98f3f27dee66af68b7b21fd,1/6/2025 21:28,1/6/2025 21:37,1/6/2025 22:28,CASILLA,MOVIL,ACTA PREP,1
'300634C0300,'300634C03001,'30,VERACRUZ,'034,CATEMACO,'0634,'03,C,'00,2,1,SIN DATO,SIN DATO,SIN DATO,SIN DATO,30,1,9,75,196,53,-,-,5,0,10,SIN DATO,379,722,12, - ,1,F,8ef1cc3fd662e3e3ecfa7d8ec1f059471bd6e50ff0c5c871b1c3a0dc0b8141cd,1/6/2025 21:42,1/6/2025 21:53,1/6/2025 21:55,CASILLA,MOVIL,ACTA PREP,0
'300635B0100,'300635B01001,'30,VERACRUZ,'034,CATEMACO,'0635,'01,B,'00,2,1,217,305,5,310,24,0,7,42,164,65,-,-,3,SIN DATO,5,310,310,515,12,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,ffe61453aa26341fb634270cf0a891004a9c6aa22da33f44852e062c6bec590c,1/6/2025 20:44,1/6/2025 20:45,1/6/2025 20:48,CATD,CATD Movil,ACTA PREP,1
'300635C0100,'300635C01001,'30,VERACRUZ,'034,CATEMACO,'0635,'01,C,'00,2,1,222,300,4,304,17,1,9,44,157,71,-,-,1,0,4,304,304,514,12, - ,1,F,4360c9670cdce7167d979e55d361932a6cfe6096776fc6f4fcf04ba51c4c09ed,1/6/2025 20:15,1/6/2025 20:17,1/6/2025 20:17,CASILLA,MOVIL,ACTA PREP,1
'300635C0200,'300635C02001,'30,VERACRUZ,'034,CATEMACO,'0635,'02,C,'00,2,1,223,300,3,303,24,1,3,44,158,68,-,-,1,0,4,303,303,514,12, - ,1,F,5c6aca8746d15256b1b87b18cb6f2fba5b3b06adfe9ead9c37a39832149a4d67,1/6/2025 19:34,1/6/2025 19:40,1/6/2025 19:41,CASILLA,MOVIL,ACTA PREP,1
